Year,Agricultural land (sq. km),Arable land (hectares),Land under cereal production (hectares),"Agricultural machinery, tractors per 100 sq. km of arable land",Cereal yield (kg per hectare)
1961,1378290,18597000,10287500,64.52653654,1410.654
1962,1364340,19180000,8699220,67.77893639,1604.925
1963,1348750,19600000,11468110,71.42857143,1511.243
1964,1332970,20000000,12281330,75,1695.362
1965,1317800,20461000,9866080,75.75387322,1403.171
1966,1309480,21608000,11122075,74.04664939,1557.048
1967,1297030,22341000,12185670,73.85524372,1606.403
1968,1292350,23851000,12408430,71.27583749,1313.349
1969,1293020,25897000,11884800,67.57539483,1554.675
1970,1292800,26000000,11221810,64.75,1775.293
1971,1291540,26000000,12321590,65.76923077,1783.52
1972,1290280,26000000,11702050,67.17692308,1609.47
1973,1289020,26000000,11688950,69.23076923,2041.355
1974,1287760,26000000,11538000,69.23076923,2046.187
1975,1286500,26000000,11780050,69.23076923,1955.917
1976,1285240,26000000,13051770,69.23076923,1907.151
1977,1283980,26000000,10542300,69.23076923,2134.904
1978,1282720,26000000,11425900,66.53846154,2424.334
1979,1281460,26000000,11131900,65.92307692,2252.176
1980,1280200,26000000,9952900,64.11538462,1874.067
1981,1278940,26000000,12377000,81.92307692,2424.998
1982,1287690,27000000,14052800,75.44444444,2442.816
1983,1286440,27000000,13599000,74.74074074,2330.098
1984,1285170,27000000,12337485,75.44444444,2581.507
1985,1283910,27000000,11508250,75.55555556,2439.537
1986,1282650,27000000,10119555,83.33333333,2582.208
1987,1279390,26800000,9631373,91.41791045,2382.62
1988,1273800,26367000,8835955,101.5595252,2527.887
1989,1274700,26470000,8515784,100.5289006,2129.372
1990,1275650,26575000,9014945,99.52963311,2232.249
1991,1276600,26680000,8141395,98.51949025,2666.111
1992,1277550,26785000,8372540,97.51726713,3057.33
1993,1278500,26890000,8844085,96.50427668,2846.504
1994,1279480,26998000,9009145,95.48855471,2816.097
1995,1280450,27105000,8681595,94.48441247,2799.777
1996,1281420,27212000,11145990,93.48816699,2754.31
1997,1282350,27320000,10853828,92.49633968,3308.198
1998,1283300,27425000,10240115,91.52233364,3692.19
1999,1284120,27532000,10453655,90.54917914,3351.527
2000,1285100,27640000,11220982,89.58031838,3453.79
2001,1286060,27746000,11199198,88.62538744,3206.835
2002,1287100,27862000,9825961,87.68932596,3240.788
